axis,feature,role,spearman_rho,pearson_r,p,n,q_fdr,passes_fdr,passes_effect,passes_threshold
lyr_valence,intensity,verified,-0.0213,0.0051,0.584737,661,0.697581,False,False,False
lyr_valence,energy_full,verified,0.0952,0.1016,0.0143148,661,0.0360522,True,False,False
lyr_valence,i_mean,verified,-0.0399,-0.0066,0.305291,661,0.432496,False,False,False
lyr_valence,i_std,verified,-0.0078,-0.0314,0.841549,661,0.917134,False,False,False
lyr_valence,i_min,verified,-0.002,0.03,0.958435,661,0.97274,False,False,False
lyr_valence,i_max,verified,-0.0053,-0.0112,0.892409,661,0.933597,False,False,False
lyr_valence,i_start,verified,0.0035,0.0338,0.928701,661,0.956843,False,False,False
lyr_valence,i_end,verified,-0.0334,-0.0087,0.391794,661,0.521744,False,False,False
lyr_valence,mode_score,verified,0.1879,0.1683,1.1377e-06,661,1.93409e-05,True,False,False
lyr_valence,bpm,verified,0.0102,0.023,0.793063,661,0.88407,False,False,False
lyr_valence,acousticness_proxy,exploratory,-0.0148,-0.0216,0.703191,661,0.810457,False,False,False
lyr_valence,instrumentalness_proxy,exploratory,0.0326,0.0382,0.402871,661,0.521744,False,False,False
lyr_valence,cen_mean,librosa_direct,0.0115,0.0428,0.767114,661,0.869396,False,False,False
lyr_valence,cen_p90,librosa_direct,0.0008,0.0134,0.983935,661,0.983935,False,False,False
lyr_valence,roll_mean,librosa_direct,-0.0388,-0.0052,0.319423,661,0.443281,False,False,False
lyr_valence,roll_p90,librosa_direct,-0.0582,-0.0389,0.135085,661,0.241732,False,False,False
lyr_valence,bw_mean,librosa_direct,-0.048,-0.0149,0.21755,661,0.328741,False,False,False
lyr_valence,bw_p90,librosa_direct,-0.0814,-0.0721,0.0364265,661,0.0774063,False,False,False
lyr_valence,flat_mean,librosa_direct,-0.0232,-0.0083,0.552179,661,0.670504,False,False,False
lyr_valence,flat_p90,librosa_direct,-0.03,-0.0198,0.44169,661,0.556202,False,False,False
lyr_valence,contrast_mean,librosa_direct,0.2299,0.1802,2.23267e-09,661,1.51821e-07,True,True,True
lyr_valence,contrast_p90,librosa_direct,0.1988,0.1489,2.54728e-07,661,8.66076e-06,True,False,False
lyr_valence,zcr_mean,librosa_direct,0.14,0.15,0.000307106,661,0.00208832,True,False,False
lyr_valence,zcr_p90,librosa_direct,0.134,0.1401,0.000549585,661,0.00252908,True,False,False
lyr_valence,perc_mean,librosa_direct,0.0186,0.0233,0.633322,661,0.742516,False,False,False
lyr_valence,perc_p90,librosa_direct,0.0723,0.0616,0.0631747,661,0.130178,False,False,False
lyr_valence,perc_p95,librosa_direct,0.0533,0.0499,0.171092,661,0.275772,False,False,False
lyr_valence,onset_mean,librosa_direct,0.0293,-0.031,0.451449,661,0.558155,False,False,False
lyr_valence,onset_p90,librosa_direct,0.1282,0.0481,0.000957101,661,0.0038284,True,False,False
lyr_valence,onset_rate,librosa_direct,0.1355,0.1168,0.000476396,661,0.00252908,True,False,False
lyr_valence,rms_mean,librosa_direct,-0.1363,-0.1598,0.000439498,661,0.00252908,True,False,False
lyr_valence,rms_p90,librosa_direct,-0.1884,-0.1952,1.06397e-06,661,1.93409e-05,True,False,False
lyr_valence,energy,negative_control,-0.0975,-0.1063,0.0123005,658,0.0334575,True,False,False
lyr_valence,energy_proxy,negative_control,0.0422,0.0159,0.278075,661,0.404617,False,False,False
lyr_arousal,intensity,verified,0.1269,0.1365,0.00107546,661,0.003849,True,False,False
lyr_arousal,energy_full,verified,0.0522,0.0512,0.180226,661,0.278532,False,False,False
lyr_arousal,i_mean,verified,0.1485,0.1403,0.000126851,661,0.00121633,True,False,False
lyr_arousal,i_std,verified,-0.1184,-0.11,0.00228971,661,0.007785,True,False,False
lyr_arousal,i_min,verified,0.1534,0.147,7.51659e-05,661,0.00085188,True,False,False
lyr_arousal,i_max,verified,0.0602,0.041,0.121828,661,0.2239,False,False,False
lyr_arousal,i_start,verified,0.0936,0.087,0.0160196,661,0.0389048,True,False,False
lyr_arousal,i_end,verified,0.1334,0.1339,0.000585392,661,0.00252908,True,False,False
lyr_arousal,mode_score,verified,-0.1576,-0.163,4.71079e-05,661,0.000640668,True,False,False
lyr_arousal,bpm,verified,0.0069,0.0144,0.860101,661,0.917134,False,False,False
lyr_arousal,acousticness_proxy,exploratory,-0.0555,-0.0409,0.153979,661,0.261765,False,False,False
lyr_arousal,instrumentalness_proxy,exploratory,0.0323,0.047,0.406653,661,0.521744,False,False,False
lyr_arousal,cen_mean,librosa_direct,0.1474,0.1416,0.000143097,661,0.00121633,True,False,False
lyr_arousal,cen_p90,librosa_direct,0.1083,0.0957,0.00533556,661,0.0157747,True,False,False
lyr_arousal,roll_mean,librosa_direct,0.1439,0.141,0.000205044,661,0.00154922,True,False,False
lyr_arousal,roll_p90,librosa_direct,0.0854,0.089,0.0281585,661,0.0638259,False,False,False
lyr_arousal,bw_mean,librosa_direct,0.1271,0.1339,0.00105722,661,0.003849,True,False,False
lyr_arousal,bw_p90,librosa_direct,0.0613,0.0753,0.115575,661,0.218308,False,False,False
lyr_arousal,flat_mean,librosa_direct,0.1137,0.1074,0.00343087,661,0.0111095,True,False,False
lyr_arousal,flat_p90,librosa_direct,0.1047,0.0896,0.00708304,661,0.0200686,True,False,False
lyr_arousal,contrast_mean,librosa_direct,-0.1344,-0.1332,0.000531281,661,0.00252908,True,False,False
lyr_arousal,contrast_p90,librosa_direct,-0.1332,-0.125,0.000595077,661,0.00252908,True,False,False
lyr_arousal,zcr_mean,librosa_direct,0.1092,0.1011,0.00496238,661,0.0153383,True,False,False
lyr_arousal,zcr_p90,librosa_direct,0.0885,0.0813,0.0228665,661,0.053618,False,False,False
lyr_arousal,perc_mean,librosa_direct,0.0421,0.0221,0.279662,661,0.404617,False,False,False
lyr_arousal,perc_p90,librosa_direct,-0.0356,-0.0434,0.360792,661,0.490677,False,False,False
lyr_arousal,perc_p95,librosa_direct,-0.0629,-0.0631,0.106112,661,0.20616,False,False,False
lyr_arousal,onset_mean,librosa_direct,0.0067,-0.0029,0.863185,661,0.917134,False,False,False
lyr_arousal,onset_p90,librosa_direct,-0.0529,-0.0543,0.174385,661,0.275772,False,False,False
lyr_arousal,onset_rate,librosa_direct,-0.066,-0.0619,0.0897765,661,0.179553,False,False,False
lyr_arousal,rms_mean,librosa_direct,0.0823,0.0427,0.0344937,661,0.0756636,False,False,False
lyr_arousal,rms_p90,librosa_direct,0.0547,0.0209,0.160085,661,0.265507,False,False,False
lyr_arousal,energy,negative_control,0.0963,0.0894,0.0134702,658,0.0352299,True,False,False
lyr_arousal,energy_proxy,negative_control,-0.0559,-0.0516,0.1514,661,0.261765,False,False,False
