query_id,tier,rank,arm,tag,band,song,url,lyr_rank,acou_rank,acou_match,combined_rank
T1-Q1,T1_literal,1,A,hello_happy_world__109,hello_happy_world,えがお･シング･あ･ソング,https://youtu.be/B-I2KAxGKD8,0.9992,0.6498,0.8182,0.9992
T1-Q1,T1_literal,2,A,hello_happy_world__123,hello_happy_world,Happy! Happier! Happiest!,https://youtu.be/xpECEzVaWH8,0.9977,0.6785,0.8284,0.9977
T1-Q1,T1_literal,3,A,hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,https://youtu.be/YRQHVpYDHAU,0.9962,0.472,0.7554,0.9962
T1-Q1,T1_literal,1,B,poppin_party__423,poppin_party,イントロダクション,https://youtu.be/KfuOq4v5H_A,0.9932,0.9796,1.0,0.9796
T1-Q1,T1_literal,2,B,poppin_party__454,poppin_party,花園電気ギター！！！,https://youtu.be/Fb6Vxj--Fq4,0.8585,0.9796,1.0,0.9796
T1-Q1,T1_literal,3,B,afterglow__063,afterglow,ドラマツルギー (Cover),https://youtu.be/wFqN8fUMosg,0.1551,0.9796,1.0,0.9796
T1-Q1,T1_literal,1,C,poppin_party__423,poppin_party,イントロダクション,https://youtu.be/KfuOq4v5H_A,0.9932,0.9796,1.0,0.9864
T1-Q1,T1_literal,2,C,poppin_party__450,poppin_party,Chu Chueen!,https://youtu.be/5j2a4m1OQsg,0.9463,0.9796,1.0,0.9629
T1-Q1,T1_literal,3,C,roselia__624,roselia,THRONE OF ROSE,https://youtu.be/H_ngLOaoMvs,0.9342,0.9796,1.0,0.9569
T1-Q2,T1_literal,1,A,poppin_party__472,poppin_party,メランコリック (Cover),https://youtu.be/7X1NMdaFLiw,0.9992,0.8185,1.0,0.9992
T1-Q2,T1_literal,2,A,poppin_party__465,poppin_party,幾億光年 (Cover),https://youtu.be/CHkferCyEUM,0.9977,0.0537,0.7976,0.9977
T1-Q2,T1_literal,3,A,pastel_palettes__334,pastel_palettes,秘密の扉から会いにきて,https://youtu.be/Vfk4MdZKBn4,0.9962,0.8185,1.0,0.9962
T1-Q2,T1_literal,1,B,raise_a_suilen__566,raise_a_suilen,SAVIOR OF SONG (Cover),https://youtu.be/M45pCdVZhHY,0.143,0.8185,1.0,0.8185
T1-Q2,T1_literal,2,B,raise_a_suilen__564,raise_a_suilen,神っぽいな (Cover),https://youtu.be/J1pFz1b08f8,0.562,0.8185,1.0,0.8185
T1-Q2,T1_literal,3,B,roselia__592,roselia,Sage der Rosen,https://youtu.be/z0jU3sNiA44,0.4002,0.8185,1.0,0.8185
T1-Q2,T1_literal,1,C,poppin_party__472,poppin_party,メランコリック (Cover),https://youtu.be/7X1NMdaFLiw,0.9992,0.8185,1.0,0.9089
T1-Q2,T1_literal,2,C,pastel_palettes__334,pastel_palettes,秘密の扉から会いにきて,https://youtu.be/Vfk4MdZKBn4,0.9962,0.8185,1.0,0.9073
T1-Q2,T1_literal,3,C,mygo__260,mygo,迷星叫,https://youtu.be/V6gq-6dAbHA,0.9932,0.8185,1.0,0.9058
T2-Q1,T2_idiomatic,1,A,poppin_party__472,poppin_party,メランコリック (Cover),https://youtu.be/7X1NMdaFLiw,0.9992,0.907,0.9669,0.9992
T2-Q1,T2_idiomatic,2,A,morfonica__181,morfonica,メランコリックララバイ,https://youtu.be/D_uUbtZUOPc,0.9977,0.3623,0.7124,0.9977
T2-Q1,T2_idiomatic,3,A,ave_mujica__081,ave_mujica,Choir ‘S’ Choir,https://youtu.be/7llj4mh4L-8,0.9962,0.6725,0.8306,0.9962
T2-Q1,T2_idiomatic,1,B,raise_a_suilen__546,raise_a_suilen,OUTSIDER RODEO,https://youtu.be/gSVSgtA9ke4,0.0794,0.9713,1.0,0.9713
