tag,band,song,detected_lang,lang_prob,n_segments,n_chars,avg_logprob_mean
afterglow__000,afterglow,ON YOUR MARK,ja,0.990234375,32,535,-0.2587860687495458
afterglow__001,afterglow,That Is How I Roll!,ja,0.9716796875,38,704,-0.2895367872657496
afterglow__002,afterglow,SENSENFUKOKU,ja,0.9541015625,61,665,-0.3140947811475282
afterglow__003,afterglow,I knew it!,,,38,478,
afterglow__004,afterglow,ツナグ、ソラモヨウ,,,30,368,
afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),,,41,560,
afterglow__006,afterglow,"Easy come, Easy go!",,,34,385,
afterglow__007,afterglow,Sasanqua,,,44,487,
afterglow__008,afterglow,RED RED RED,,,28,256,
afterglow__009,afterglow,ONE OF US,,,54,632,
afterglow__010,afterglow,Y.O.L.O!!!!!,,,48,617,
afterglow__011,afterglow,Scarlet Sky,,,29,546,
afterglow__012,afterglow,Off we go.,,,40,518,
afterglow__013,afterglow,いつも通りのBrand new days,,,28,434,
afterglow__014,afterglow,SWITCH ON NOW,,,32,581,
afterglow__015,afterglow,ランブリングメモリー,,,40,381,
afterglow__016,afterglow,COMIC PANIC!!!,,,82,864,
afterglow__017,afterglow,Trouble Joyful!!,,,41,528,
afterglow__018,afterglow,Jamboree!Journey!,,,43,553,
afterglow__019,afterglow,カナユメ,,,47,493,
afterglow__020,afterglow,独創収差,,,43,418,
afterglow__021,afterglow,極彩色,,,41,463,
afterglow__022,afterglow,サクラゼンセン,ja,0.9931640625,40,459,-0.2309896907965502
afterglow__023,afterglow,True color,ja,0.982421875,35,505,-0.17510050593566154
afterglow__024,afterglow,Crow Song,ja,0.87841796875,25,257,-0.38701781056811646
afterglow__025,afterglow,カサブタ,ja,0.94091796875,17,238,-0.27617670119778487
afterglow__026,afterglow,アイのシナリオ,ja,0.9619140625,43,445,-0.20928508955384167
afterglow__027,afterglow,Northern lights,ja,0.85546875,32,352,-0.296239323562448
afterglow__028,afterglow,トーキョーワンダー。,ja,0.9462890625,32,379,-0.39681395133448777
afterglow__029,afterglow,Reach Out To The Truth,en,0.3779296875,27,1356,-0.4916275576880235
afterglow__030,afterglow,Listen!!,ja,0.95751953125,34,561,-0.34278298519879613
afterglow__031,afterglow,青い栞,ja,0.97412109375,45,533,-0.2736421731614449
afterglow__032,afterglow,イマジネーション,ja,0.85546875,22,279,-0.25949768931099365
afterglow__033,afterglow,Butter-Fly,ja,0.98974609375,36,475,-0.2657485471673153
afterglow__034,afterglow,燦々,ja,0.994140625,37,502,-0.21120027031174587
afterglow__035,afterglow,That's why I'm here.,ja,0.986328125,44,628,-0.21157253664600975
afterglow__036,afterglow,IGNITE GLOW,ja,0.955078125,48,627,-0.35937405601028943
afterglow__037,afterglow,ペトリコール・オベーション,ja,0.9599609375,34,568,-0.18820952655041828
afterglow__038,afterglow,Made My Day,ja,0.98583984375,33,494,-0.2231683290425642
afterglow__039,afterglow,Glowing After,ja,0.96923828125,64,686,-0.2568998555603012
afterglow__040,afterglow,A Sunset So Bright,ja,0.9462890625,38,551,-0.36123546206406154
afterglow__041,afterglow,Start as Usual,ja,0.9912109375,47,589,-0.19649393828005113
afterglow__042,afterglow,“Say cheese!!!!!”,ja,0.98046875,46,634,-0.2649783230099358
afterglow__043,afterglow,花笑みのデュオ,ja,0.9814453125,45,657,-0.2475874277875033
afterglow__044,afterglow,READY STEADY GO (Cover),ja,0.84326171875,28,458,-0.2900295768762988
afterglow__045,afterglow,abnormalize (Cover),ja,0.970703125,32,311,-0.3281799886241282
afterglow__046,afterglow,メンタルチェンソー (Cover),ja,0.8681640625,56,712,-0.38787803338036725
afterglow__047,afterglow,Bunny Girl (Cover),ja,0.97265625,37,469,-0.1963567736624303
afterglow__048,afterglow,オレンジ (Cover),ja,0.9892578125,27,335,-0.26900800911338457
afterglow__049,afterglow,カゲロウデイズ (Cover),ja,0.990234375,35,659,-0.2667899712261898
afterglow__050,afterglow,DAY×DAY (Cover),ja,0.99365234375,32,769,-0.2902057913744379
afterglow__051,afterglow,ロキ (Cover),ja,0.80322265625,58,694,-0.30415566680096656
afterglow__052,afterglow,CHAINSAW BLOOD (Cover),ja,0.95166015625,13,644,-0.4057199530741158
afterglow__053,afterglow,チルドレンレコード (Re:boot) (Cover),ja,0.9853515625,47,661,-0.22108608136102192
afterglow__054,afterglow,青のすみか (Cover),ja,0.99169921875,36,447,-0.22856834249356817
afterglow__055,afterglow,GO!!! (Cover),ja,0.84521484375,74,1301,-0.4057129750556505
afterglow__056,afterglow,天ノ弱 (Cover),ja,0.990234375,20,355,-0.1920837098943112
afterglow__057,afterglow,アスノヨゾラ哨戒班 (Cover),ja,0.9501953125,27,462,-0.3014396409979182
afterglow__058,afterglow,瞬間センチメンタル (Cover),ja,0.99072265625,28,342,-0.1977990093165499
afterglow__059,afterglow,プライド革命 (Cover),ja,0.99658203125,49,507,-0.2252866107129641
afterglow__060,afterglow,命に嫌われている。 (Cover),ja,0.98681640625,47,633,-0.14282814985475628
afterglow__061,afterglow,Redo (Cover),ja,0.986328125,31,415,-0.3176102746983758
afterglow__062,afterglow,インフェルノ (Cover),ja,0.97900390625,22,349,-0.32312478429079533
afterglow__063,afterglow,ドラマツルギー (Cover),ja,0.9892578125,59,897,-0.2882444882637886
afterglow__064,afterglow,COLORS (Cover),ja,0.94873046875,23,367,-0.20519702931693382
afterglow__065,afterglow,午夜の待ち合わせ (Cover),ja,0.94970703125,31,451,-0.2645429109011597
afterglow__066,afterglow,サムライハート（Some Like It Hot!!） (Cover),ja,0.97900390625,30,392,-0.20722177333690572
afterglow__067,afterglow,ベノム (Cover),ja,0.9521484375,27,668,-0.345186512451257
afterglow__068,afterglow,Don't say “lazy” (Cover),ja,0.953125,52,699,-0.337710444587356
afterglow__069,afterglow,Part of the Life,ja,0.9482421875,16,245,-0.26938805285877054
afterglow__070,afterglow,Punchline Halloween!!!,ja,0.88037109375,37,661,-0.383869837844892
afterglow__071,afterglow,I love your way！,ja,0.98486328125,54,700,-0.3110944763038657
ave_mujica__072,ave_mujica,KiLLKiSS,ja,0.96533203125,39,452,-0.3370658306619897
ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",ja,0.96337890625,19,301,-0.3724799964472087
ave_mujica__074,ave_mujica,Imprisoned XII,ja,0.73583984375,19,208,-0.3629247332069171
ave_mujica__075,ave_mujica,Crucifix X,ja,0.9814453125,39,383,-0.3430173948715913
ave_mujica__076,ave_mujica,八芒星ダンス,ja,0.8330078125,44,874,-0.4870652746942982
ave_mujica__077,ave_mujica,顔,ja,0.9580078125,40,961,-0.38604337709353137
ave_mujica__078,ave_mujica,天球のMúsica,ja,0.97509765625,46,476,-0.30472926603943284
ave_mujica__079,ave_mujica,黒のバースデイ,ja,0.96484375,23,432,-0.37957247875455996
ave_mujica__080,ave_mujica,ふたつの月 ~Deep Into The Forest~,ja,0.77392578125,22,216,-0.3348542272581734
ave_mujica__081,ave_mujica,Choir ‘S’ Choir,en,0.415283203125,23,1249,-0.607439384649248
ave_mujica__082,ave_mujica,神さま、バカ,ja,0.9775390625,23,313,-0.2664113013862198
ave_mujica__083,ave_mujica,Mas?uerade Rhapsody Re?uest,ja,0.96923828125,27,372,-0.36782479454756306
ave_mujica__084,ave_mujica,Ave Mujica,ja,0.88525390625,26,354,-0.33160181266012945
ave_mujica__085,ave_mujica,Symbol I : △,ja,0.92431640625,37,412,-0.3130956603630528
ave_mujica__086,ave_mujica,Symbol II : Air,ja,0.86376953125,26,434,-0.3580778963775716
ave_mujica__087,ave_mujica,Symbol III : ▽,ja,0.9189453125,18,220,-0.25524924888653444
ave_mujica__088,ave_mujica,Symbol IV : Earth,ja,0.95458984375,22,220,-0.2876448515750648
ave_mujica__089,ave_mujica,Ether,ja,0.98828125,28,263,-0.31648197962553276
ave_mujica__090,ave_mujica,The Whole Blue World,ja,0.8798828125,35,306,-0.4392969422394135
ave_mujica__091,ave_mujica,in your blue eyes,ja,0.97314453125,17,476,-0.36058926027010796
ave_mujica__092,ave_mujica,素晴らしき世界 でも どこにもない場所,ja,0.892578125,16,163,-0.3840718030263181
ave_mujica__093,ave_mujica,Angles,ja,0.947265625,31,446,-0.2620369111762611
ave_mujica__094,ave_mujica,DIVINE,ja,0.9658203125,33,414,-0.23480114391012763
ave_mujica__095,ave_mujica,Sophie,ja,0.927734375,19,268,-0.31632800835382113
ave_mujica__096,ave_mujica,‘S/’ The Way,ja,0.869140625,56,682,-0.4011770619364164
ave_mujica__097,ave_mujica,碧い瞳の中に,ja,0.9599609375,23,475,-0.31383435107159213
ave_mujica__098,ave_mujica,堕天 (Cover),ja,0.966796875,41,668,-0.2784072605668752
ave_mujica__099,ave_mujica,KINGS (Cover),ja,0.650390625,32,485,-0.3267071413345505
ave_mujica__100,ave_mujica,暗黒天国 (Cover),ja,0.8212890625,29,402,-0.38065816070991026
various_artists__101,various_artists,Don't be afraid!,ja,0.958984375,30,543,-0.16765099901586883
various_artists__102,various_artists,Glee! Glee! Glee!,ja,0.986328125,30,415,-0.2322488613858165
various_artists__103,various_artists,"Be shine, shining!",ja,0.9697265625,12,207,-0.26588663494991177
various_artists__104,various_artists,"Here, the world",ja,0.88232421875,72,991,-0.3132321057068821
various_artists__105,various_artists,CiRCLE THANKS MUSiC♪,ja,0.8837890625,17,256,-0.2588622167476021
hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,ja,0.94384765625,40,530,-0.3077352606977502
hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,ja,0.98388671875,49,727,-0.1926117104855808
hello_happy_world__108,hello_happy_world,スマイルブーケで た〜まや〜！,ja,0.98828125,32,429,-0.2922090800851356
hello_happy_world__109,hello_happy_world,えがお･シング･あ･ソング,ja,0.865234375,47,628,-0.21563625893987556
hello_happy_world__110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,ja,0.951171875,37,669,-0.24369848389141155
hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,ja,0.9736328125,45,522,-0.29077754845433035
hello_happy_world__112,hello_happy_world,ないすみちゅっ！,ja,0.9697265625,59,736,-0.24673438328176941
hello_happy_world__113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,ja,0.93505859375,41,364,-0.3423951639922863
hello_happy_world__114,hello_happy_world,うぃーきゃん☆フレフレっ！,ja,0.990234375,38,460,-0.2915719945121832
hello_happy_world__115,hello_happy_world,えがおのオーケストラっ！,ja,0.97021484375,42,501,-0.2352058040092388
hello_happy_world__116,hello_happy_world,にこにこねくと！,ja,0.96630859375,32,473,-0.2649758997849992
hello_happy_world__117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,ja,0.97705078125,52,524,-0.2952242980853279
hello_happy_world__118,hello_happy_world,せかいのっびのびトレジャー！,ja,0.923828125,21,515,-0.30145826825487443
hello_happy_world__119,hello_happy_world,きらっ☆と キミフェス！,ja,0.943359375,41,498,-0.2094963918212979
hello_happy_world__120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,ja,0.98583984375,48,556,-0.23187321642495284
hello_happy_world__121,hello_happy_world,はれやか すこやか ぴかりんりん♪,ja,0.96435546875,52,686,-0.2665574943509564
hello_happy_world__122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,ja,0.98095703125,25,455,-0.22479556869320128
hello_happy_world__123,hello_happy_world,Happy! Happier! Happiest!,ja,0.92333984375,45,451,-0.31444891787708373
hello_happy_world__124,hello_happy_world,現るっ！大怪盗ハロハッピー！,ja,0.95556640625,61,692,-0.24352013949363457
hello_happy_world__125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,ja,0.99365234375,41,550,-0.2855449068379899
hello_happy_world__126,hello_happy_world,おもいでイルミネーション,ja,0.93603515625,42,453,-0.28718279879586806
hello_happy_world__127,hello_happy_world,おもいやりハーモニー,ja,0.97802734375,31,385,-0.22579761195099268
hello_happy_world__128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,ja,0.912109375,29,322,-0.26596854351580557
hello_happy_world__129,hello_happy_world,えがお、あーゆーれでぃ???,ja,0.9541015625,30,411,-0.2052143661425592
hello_happy_world__130,hello_happy_world,ハッピーサマーウェディング,ja,0.990234375,29,342,-0.2370205473019196
hello_happy_world__131,hello_happy_world,ひまわりの約束,ja,0.96142578125,34,454,-0.24901131438326138
hello_happy_world__132,hello_happy_world,ハッピー☆マテリアル,ja,0.9912109375,27,449,-0.14974052102276256
hello_happy_world__133,hello_happy_world,太陽曰く燃えよカオス,ja,0.947265625,42,443,-0.27544943503969044
hello_happy_world__134,hello_happy_world,エクストラ・マジック・アワー,ja,0.98583984375,33,449,-0.273979596913014
hello_happy_world__135,hello_happy_world,コレカラ,ja,0.9921875,28,491,-0.16249314709723248
hello_happy_world__136,hello_happy_world,全力少年,ja,0.994140625,29,441,-0.21427618679413502
hello_happy_world__137,hello_happy_world,オレンジ,ja,0.92724609375,36,479,-0.20740459260792643
hello_happy_world__138,hello_happy_world,Happy Girl,ja,0.9541015625,43,505,-0.2062122111768631
hello_happy_world__139,hello_happy_world,ン・パカマーチ,ja,0.9755859375,35,399,-0.19885541811004306
hello_happy_world__140,hello_happy_world,サンバロハッピ〜！,ja,0.9462890625,44,481,-0.2932617231925454
hello_happy_world__141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,ja,0.98486328125,45,698,-0.24293725742473837
hello_happy_world__142,hello_happy_world,むすんでわらって,ja,0.9892578125,45,629,-0.1950936706197431
hello_happy_world__143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,ja,0.99462890625,52,644,-0.16672904264080277
hello_happy_world__144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,ja,0.87890625,38,276,-0.35787367302572876
hello_happy_world__145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,ja,0.96484375,46,605,-0.17742020696739155
hello_happy_world__146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,ja,0.98046875,41,593,-0.2014772043252432
hello_happy_world__147,hello_happy_world,とーくとぅみー・とーくとぅゆー,ja,0.95849609375,45,388,-0.2683503554926168
hello_happy_world__148,hello_happy_world,ハイタッチ／＼びりーばーず☆,ja,0.9306640625,42,816,-0.2292421067367346
hello_happy_world__149,hello_happy_world,Listen to Smile!,ja,0.97802734375,61,528,-0.2829921231522187
hello_happy_world__150,hello_happy_world,スマイリーキャロル,ja,0.9560546875,40,444,-0.2577688744109225
hello_happy_world__151,hello_happy_world,えがお、み〜っけた！,ja,0.94580078125,50,644,-0.23784271851965857
hello_happy_world__152,hello_happy_world,上海ハニー (Cover),ja,0.95947265625,33,563,-0.2756462198471285
hello_happy_world__153,hello_happy_world,シル・ヴ・プレジデント (Cover),ja,0.94775390625,66,641,-0.30161306385280423
hello_happy_world__154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),ja,0.97900390625,97,967,-0.3429801084703816
hello_happy_world__155,hello_happy_world,はいよろこんで (Cover),ja,0.9296875,53,754,-0.2291656591665806
hello_happy_world__156,hello_happy_world,シカ色デイズ (Cover),ja,0.98193359375,28,690,-0.25873301123704595
hello_happy_world__157,hello_happy_world,強風オールバック (Cover),ja,0.98876953125,24,300,-0.2648062603866607
hello_happy_world__158,hello_happy_world,最高到達点 (Cover),ja,0.99365234375,36,518,-0.1819226731074781
hello_happy_world__159,hello_happy_world,許婚っきゅん (Cover),ja,0.98095703125,41,623,-0.267937059381275
hello_happy_world__160,hello_happy_world,新宝島 (Cover),ja,0.98095703125,10,126,-0.36147840146156607
hello_happy_world__161,hello_happy_world,ドレミファロンド (Cover),ja,0.99365234375,31,520,-0.1597437977412402
hello_happy_world__162,hello_happy_world,きゅうくらりん (Cover),ja,0.9638671875,55,668,-0.2162516387662219
hello_happy_world__163,hello_happy_world,ロメオ (Cover),ja,0.97216796875,64,694,-0.20304356376829347
hello_happy_world__164,hello_happy_world,エイリアンエイリアン (Cover),ja,0.98193359375,25,475,-0.17087256821125296
hello_happy_world__165,hello_happy_world,いーあるふぁんくらぶ (Cover),ja,0.95849609375,47,615,-0.29470161849383064
hello_happy_world__166,hello_happy_world,回レ！雪月花 (Cover),ja,0.96435546875,51,612,-0.2535282073174638
hello_happy_world__167,hello_happy_world,恋愛裁判 (Cover),ja,0.984375,28,461,-0.21172620159319872
hello_happy_world__168,hello_happy_world,TOMORROW (Cover),ja,0.974609375,25,369,-0.19973897746207261
hello_happy_world__169,hello_happy_world,GO! GO! MANIAC (Cover),ja,0.95166015625,72,983,-0.4305897635405378
hello_happy_world__170,hello_happy_world,Dragon Night (Cover),ja,0.9951171875,35,513,-0.20538318415885654
hello_happy_world__171,hello_happy_world,ようこそジャパリパークへ (Cover),ja,0.96630859375,41,802,-0.2967734543819241
hello_happy_world__172,hello_happy_world,ウィーアー！ (Cover),ja,0.95556640625,29,479,-0.2920721255621454
hello_happy_world__173,hello_happy_world,おジャ魔女カーニバル!! (Cover),ja,0.9736328125,34,670,-0.24660870648088398
hello_happy_world__174,hello_happy_world,ダーリンダンス (Cover),ja,0.95166015625,34,882,-0.20453716750414072
hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),ja,0.97998046875,51,571,-0.26671069280360243
hello_happy_world__176,hello_happy_world,SHINY DAYS (Cover),ja,0.97900390625,54,682,-0.30181412024622106
hello_happy_world__177,hello_happy_world,シルエット (Cover),ja,0.990234375,28,478,-0.196620424911207
ikka_dumb_rock__178,ikka_dumb_rock,ホーミー・タイッ！！,ja,0.91064453125,70,895,-0.33128977907939605
millsage__179,millsage,起死開戦,ja,0.97021484375,28,407,-0.24324916049237835
morfonica__180,morfonica,Daylight -デイライト-,ja,0.87939453125,31,432,-0.25671924067439
morfonica__181,morfonica,メランコリックララバイ,ja,0.95849609375,44,651,-0.2176357163905718
morfonica__182,morfonica,flame of hope,ja,0.98388671875,49,620,-0.234357360481304
morfonica__183,morfonica,ブルームブルーム,ja,0.984375,39,565,-0.2390406695532321
morfonica__184,morfonica,カラフルリバティー,ja,0.92626953125,32,450,-0.2574539920739777
morfonica__185,morfonica,fly with the night,ja,0.837890625,23,208,-0.3304554522797971
morfonica__186,morfonica,金色へのプレリュード,ja,0.98681640625,30,481,-0.2584643122983187
morfonica__187,morfonica,The Circle Of Butterflies,ja,0.994140625,28,447,-0.2298776274956122
morfonica__188,morfonica,ハーモニー・デイ,ja,0.98095703125,39,422,-0.274210984713079
morfonica__189,morfonica,Sweet Cheers!,ja,0.96044921875,36,443,-0.2800142544919053
morfonica__190,morfonica,"寄る辺のSunny, Sunny",ja,0.984375,39,577,-0.20452086031095984
morfonica__191,morfonica,誓いのWingbeat,ja,0.9755859375,47,554,-0.28618270530855255
morfonica__192,morfonica,Ever Sky Blue,ja,0.986328125,46,653,-0.19911715244207065
morfonica__193,morfonica,Polyphonyscape,ja,0.98583984375,84,615,-0.3873035648808591
morfonica__194,morfonica,Wreath of Brave,ja,0.974609375,37,581,-0.1945100695783995
morfonica__195,morfonica,Merry Merry Thanks!!,ja,0.99658203125,45,609,-0.2667043253131833
morfonica__196,morfonica,Sonorous,ja,0.93359375,38,437,-0.23956222211571207
morfonica__197,morfonica,両翼のBrilliance,ja,0.912109375,37,482,-0.34210663330994395
morfonica__198,morfonica,Steer to Utopia,ja,0.9775390625,35,482,-0.28745763663703044
morfonica__199,morfonica,Fateful...,ja,0.9501953125,28,355,-0.25654030466111727
morfonica__200,morfonica,ティリカモニカリラ,ja,0.80908203125,26,388,-0.3664254649169385
morfonica__201,morfonica,Secret Dawn,ja,0.98193359375,39,417,-0.2726530636019639
morfonica__202,morfonica,Angel's Ladder,ja,0.9892578125,42,494,-0.1973410449425663
morfonica__203,morfonica,One step at a time,ja,0.9951171875,33,710,-0.2255264539402174
morfonica__204,morfonica,Tempest,ja,0.98388671875,49,519,-0.2942925575943438
morfonica__205,morfonica,フレージング ミラージュ,ja,0.96728515625,35,433,-0.2356387384017088
morfonica__206,morfonica,MUGEN Reverberate!,ja,0.97607421875,33,472,-0.26387336564288055
morfonica__207,morfonica,わたしまちがいさがし,ja,0.9306640625,44,550,-0.23269707259348227
morfonica__208,morfonica,esora no clover,ja,0.96875,30,778,-0.253489796688861
morfonica__209,morfonica,きょうもMerry go rounD,ja,0.986328125,43,530,-0.20286651968931738
morfonica__210,morfonica,Feathered Dreams,ja,0.9189453125,40,469,-0.29904156644830504
