tag,band,song,url
afterglow__000,afterglow,ON YOUR MARK,https://youtu.be/09B-WljIiTo
afterglow__001,afterglow,That Is How I Roll!,https://youtu.be/_lfuqSepLNw
afterglow__002,afterglow,SENSENFUKOKU,https://youtu.be/RDZUbagvt0E
afterglow__003,afterglow,I knew it!,https://youtu.be/q-TEDPBUv7M
afterglow__004,afterglow,ツナグ、ソラモヨウ,https://youtu.be/BnWyq8p7NzI
afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo
afterglow__006,afterglow,"Easy come, Easy go!",https://youtu.be/erY4I7Irk0E
afterglow__007,afterglow,Sasanqua,https://youtu.be/zB2aqNpT8ak
afterglow__008,afterglow,RED RED RED,https://youtu.be/PEUtqZ_lQ4w
afterglow__009,afterglow,ONE OF US,https://youtu.be/fwT9BgeiPNU
afterglow__010,afterglow,Y.O.L.O!!!!!,https://youtu.be/NWTkdgPu9v8
afterglow__011,afterglow,Scarlet Sky,https://youtu.be/tfZBC32tcwo
afterglow__012,afterglow,Off we go.,https://youtu.be/bg2UuSTbyqk
afterglow__013,afterglow,いつも通りのBrand new days,https://youtu.be/Ku2GV2VkQcA
afterglow__014,afterglow,SWITCH ON NOW,https://youtu.be/jsPk4RqO3N8
afterglow__015,afterglow,ランブリングメモリー,https://youtu.be/vRHfyDdge6s
afterglow__016,afterglow,COMIC PANIC!!!,https://youtu.be/LhpHCRJAAKw
afterglow__017,afterglow,Trouble Joyful!!,https://youtu.be/RepUyAXXlD8
afterglow__018,afterglow,Jamboree!Journey!,https://youtu.be/UEBaKDkey40
afterglow__019,afterglow,カナユメ,https://youtu.be/ZFXt0Ul0YA8
afterglow__020,afterglow,独創収差,https://youtu.be/8rQjShGMPYs
afterglow__021,afterglow,極彩色,https://youtu.be/YvpL2A3FZk4
afterglow__022,afterglow,サクラゼンセン,https://youtu.be/RJ98HN9hl6I
afterglow__023,afterglow,True color,https://youtu.be/zOTQpZkq_vk
afterglow__024,afterglow,Crow Song,https://youtu.be/mpPPaC8vfsU
afterglow__025,afterglow,カサブタ,https://youtu.be/-0QIHYtgwwQ
afterglow__026,afterglow,アイのシナリオ,https://youtu.be/TFvTI-1uz7g
afterglow__027,afterglow,Northern lights,https://youtu.be/qrbkufy83yY
afterglow__028,afterglow,トーキョーワンダー。,https://youtu.be/4vNlqraef0E
afterglow__029,afterglow,Reach Out To The Truth,https://youtu.be/ufMWpo-RKpQ
afterglow__030,afterglow,Listen!!,https://youtu.be/VDWm77vSOR8
afterglow__031,afterglow,青い栞,https://youtu.be/bzJW33heiqw
afterglow__032,afterglow,イマジネーション,https://youtu.be/PDtPDiaQOK8
afterglow__033,afterglow,Butter-Fly,https://youtu.be/GlylV3xII5k
afterglow__034,afterglow,燦々,https://youtu.be/WnTBaFVyDyM
afterglow__035,afterglow,That's why I'm here.,https://youtu.be/Q0l5OZb3Fr8
afterglow__036,afterglow,IGNITE GLOW,https://youtu.be/bU3kvmPZFBg
afterglow__037,afterglow,ペトリコール・オベーション,https://youtu.be/XUxFCXHCDkU
afterglow__038,afterglow,Made My Day,https://youtu.be/YfS7jNzytUs
afterglow__039,afterglow,Glowing After,https://youtu.be/N-kz_Kbq6rU
afterglow__040,afterglow,A Sunset So Bright,https://youtu.be/gKHkLAXGVbE
afterglow__041,afterglow,Start as Usual,https://youtu.be/sWjSEnBR4qE
afterglow__042,afterglow,“Say cheese!!!!!”,https://youtu.be/RHGk1uT_yMc
afterglow__043,afterglow,花笑みのデュオ,https://youtu.be/m6jnZ8qDw-E
afterglow__044,afterglow,READY STEADY GO (Cover),https://youtu.be/pSdx__hacYc
afterglow__045,afterglow,abnormalize (Cover),https://youtu.be/PORDvsXEOjA
afterglow__046,afterglow,メンタルチェンソー (Cover),https://youtu.be/ujO1ibiy_SQ
afterglow__047,afterglow,Bunny Girl (Cover),https://youtu.be/9zRb7Kd0mOw
afterglow__048,afterglow,オレンジ (Cover),https://youtu.be/1xpUhlxXVfQ
afterglow__049,afterglow,カゲロウデイズ (Cover),https://youtu.be/f2UtT521XMs
afterglow__050,afterglow,DAY×DAY (Cover),https://youtu.be/kSVcNXz21RY
afterglow__051,afterglow,ロキ (Cover),https://youtu.be/i-3KO5JZOoA
afterglow__052,afterglow,CHAINSAW BLOOD (Cover),https://youtu.be/0vocZOBTZKs
afterglow__053,afterglow,チルドレンレコード (Re:boot) (Cover),https://youtu.be/SVBJBQX3IsA
afterglow__054,afterglow,青のすみか (Cover),https://youtu.be/agEZ5jPpldQ
