tag,band,song,lyr_valence,lyr_arousal,lyr_valence_pct,lyr_arousal_pct
afterglow__000,afterglow,ON YOUR MARK,0.085183,0.097421,0.6059001512859304,0.7798789712556732
afterglow__001,afterglow,That Is How I Roll!,-0.002705,0.035561,0.2927382753403933,0.3048411497730711
afterglow__002,afterglow,SENSENFUKOKU,0.073943,0.115902,0.5559757942511346,0.8691376701966718
afterglow__003,afterglow,I knew it!,0.179675,-0.04827,0.9099848714069592,0.018910741301059002
afterglow__004,afterglow,ツナグ、ソラモヨウ,0.151475,0.048018,0.8358547655068078,0.41074130105900153
afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),0.007127,0.043282,0.31089258698940997,0.3638426626323752
afterglow__006,afterglow,"Easy come, Easy go!",0.100016,0.127838,0.6633888048411498,0.9084720121028744
afterglow__007,afterglow,Sasanqua,0.07405,-0.01393,0.5574886535552194,0.07791225416036308
afterglow__008,afterglow,RED RED RED,0.079448,0.125265,0.5892586989409985,0.8978819969742814
afterglow__009,afterglow,ONE OF US,0.063794,0.07485,0.5030257186081695,0.6285930408472012
afterglow__010,afterglow,Y.O.L.O!!!!!,0.15712,0.105327,0.850983358547655,0.8252647503782148
afterglow__011,afterglow,Scarlet Sky,0.019992,-0.037709,0.3441754916792738,0.03252647503782148
afterglow__012,afterglow,Off we go.,0.165861,0.065538,0.8751891074130106,0.5363086232980333
afterglow__013,afterglow,いつも通りのBrand new days,0.220199,0.091863,0.9780635400907716,0.7526475037821483
afterglow__014,afterglow,SWITCH ON NOW,0.025136,0.061976,0.36232980332829046,0.5136157337367625
afterglow__015,afterglow,ランブリングメモリー,0.175668,0.044619,0.8948562783661119,0.37594553706505296
afterglow__016,afterglow,COMIC PANIC!!!,0.096525,0.031505,0.6543116490166414,0.28517397881996975
afterglow__017,afterglow,Trouble Joyful!!,0.113153,0.033208,0.7027231467473525,0.29122541603630864
afterglow__018,afterglow,Jamboree!Journey!,0.13507,-0.014173,0.7950075642965204,0.07639939485627836
afterglow__019,afterglow,カナユメ,0.009629,0.058488,0.3184568835098336,0.4909228441754917
afterglow__020,afterglow,独創収差,-0.086035,0.001229,0.132375189107413,0.12783661119515885
afterglow__021,afterglow,極彩色,0.096416,0.168409,0.651285930408472,0.9826021180030258
afterglow__022,afterglow,サクラゼンセン,0.103376,0.14898,0.6754916792738276,0.9629349470499243
afterglow__023,afterglow,True color,0.141876,0.024574,0.8101361573373677,0.2428139183055976
afterglow__024,afterglow,Crow Song,-0.080464,0.058137,0.13993948562783662,0.48940998487140697
afterglow__025,afterglow,カサブタ,-0.041426,-0.009845,0.2231467473524962,0.08698940998487141
